_id,StationId,AEK_LOCATION
670e44fdb1762647da8328f1,23007,GOPLAPATNAM
670e44fdb1762647da8328f2,23008,STEELPLANT
670e44fdb1762647da8328f3,23011,PENDURTY
670e44fdb1762647da8328f4,23015,INDUSTRIAL ESTATE
670e44fdb1762647da8328f5,23020,ARAKU
670e44fdb1762647da8328f6,23021,DABAGARDEN CSC
670e44fdb1762647da8328f7,23024,VELAMPETA
670e44fdb1762647da8328f8,23025,Bheemili
670e44fdb1762647da8328f9,23026,PADERU
670e44fdb1762647da8328fa,23029,MVP
670e44fdb1762647da8328fb,23030,PM PALEM
670e44fdb1762647da8328fc,23032,CHODAVARAM
670e44fdb1762647da8328fd,23034,ANAKAPALLI
670e44fdb1762647da8328fe,23035,KOMMADI
670e44fdb1762647da8328ff,23037,YELAMANCHILI
670e44fdb1762647da832900,23038,NARSIPATNAM
670e44fdb1762647da832901,23039,OLD GAJUWAKA
670e44fdb1762647da832902,23040,CRR
670e44fdb1762647da832903,23042,SEETHAMDHARA
670e44fdb1762647da832904,23046,MALKAPURAM
670e44fdb1762647da832905,23047,Mindi
